station,city
Richmond,Richmond
El Cerrito del Norte,El Cerrito
El Cerrito Plaza,El Cerrito
North Berkeley,Berkeley
Downtown Berkeley,Berkeley
Ashby,Berkeley
Antioch,Antioch
Pittsburg Center,Pittsburg
Pittsburg / Bay Point,Pittsburg
North Concord / Martinez,Concord
Concord,Concord
Pleasant Hill,Pleasant Hill
Walnut Creek,Walnut Creek
Lafayette,Lafayette
Orinda,Orinda
Rockridge,Oakland
MacArthur,Oakland
19th St / Oakland,Oakland
12th St / Oakland City Center,Oakland
Berryessa / North San Jose,San Jose
Milpitas,Milpitas
Warm Springs / South Fremont,Fremont
Fremont,Fremont
Union City,Union City
South Hayward,Hayward
Hayward,Hayward
Dublin / Pleasanton,Pleasanton
West Dublin / Pleasanton,Dublin
Castro Valley,Castro Valley
Bay Fair,San Leandro
San Leandro,San Leandro
Coliseum,Oakland
Oakland International Airport,Oakland
Fruitvale,Oakland
Lake Merritt,Oakland
West Oakland,Oakland
Embarcadero,San Francisco
Montgomery Street,San Francisco
Powell Street,San Francisco
Civic Center,San Francisco
16th Street Mission,San Francisco
24th Street Mission,San Francisco
Glen Park,San Francisco
Balboa Park,San Francisco
Daly City,Daly City
Colma,Colma
South San Francisco,South San Francisco
San Bruno,San Bruno
San Francisco International Airport,San Bruno
Millbrae,Millbrae
